sampleSize,rateMale,rateFemale,medianAge,medianIncome,rentShareOfIncome,degreeRate,rateNeverMarried,Boba_shop_cnt,university_college_count,log_median
59832,51.7,48.3,29.1,43360,35.9,3.2,54.2,0,0,10.677292636113528
53302,47.7,52.3,28,37285,43.3,3.3,54.7,0,0,10.526346379977895
73730,49,51,28.3,40598,41.3,3.3,54.4,0,0,10.611474083292713
60541,49.3,50.7,35.2,49675,34.8,25.3,61.1,3,0,10.813257067420018
39732,50.4,49.6,35.6,38491,36.2,22.9,62.1,7,0,10.558179726714524
59576,49.5,50.5,34.1,37072,35.8,13,60.4,2,0,10.520617246672158
42433,51.6,48.4,24.3,27406,40.2,12.7,75.3,3,0,10.218517246506146
31754,43.8,56.2,43.2,43364,42.6,22.5,62.1,0,0,10.677384882781183
3822,47.7,52.3,37.1,63112,35.2,40.8,62,0,2,11.052666204774926
111165,50.6,49.4,28.7,40940,38,3,55.6,0,0,10.61986285921528
36552,61.8,38.2,35.3,47027,32.7,26.1,73.4,7,0,10.758477183833678
12559,63.5,36.5,43.3,22316,31,34.4,80.1,1,0,10.01305918896542
8688,59.9,40.1,41.7,40641,29.9,40.8,81,2,0,10.612532688248846
22651,50.8,49.2,31.9,43890,33,27.2,66.3,0,1,10.68944178268228
45899,49.9,50.1,37.4,48715,35.5,17.5,58.9,0,0,10.793742269859441
27723,53.8,46.2,31.7,35605,34.4,21.6,64.1,4,0,10.480241356416226
53490,48.4,51.6,34.4,45984,37.5,13.8,58.3,0,0,10.736048788878751
64534,49.2,50.8,38.2,56389,33.5,25.4,60.4,0,0,10.940029383003269
39189,48.9,51.1,34.4,49068,34.7,30.6,60.3,9,0,10.800962370152643
2945,61.6,38.4,39.2,21635,30.7,24.6,74.8,0,0,9.982067652658985
67014,49.3,50.7,32.6,46051,33.4,5.5,54.6,0,1,10.737504756974277
46680,50.7,49.3,31.4,42972,34.1,3.9,56,0,0,10.668304019786433
51627,44.5,55.5,22.6,65855,48.4,31.1,77.6,6,0,11.095210634433148
46883,51.3,48.7,34,87280,29.9,54.9,67.3,7,0,11.376876620506952
68906,51,49,34.7,65269,30.4,30,65.5,2,0,11.086272470537482
44770,48.5,51.5,38.1,66947,30.9,44.9,64,5,0,11.111656540555968
29774,53.8,46.2,36.3,45499,34.5,39.4,75.4,1,1,10.725445626675544
36668,50.4,49.6,36.2,41998,34.8,22.9,64.7,2,1,10.645377277084064
39916,48.9,51.1,35.6,48479,34.6,14.8,58.7,0,0,10.78888599346775
48031,49.3,50.7,34,57225,33.6,13.3,57.9,0,1,10.954746144820767
49155,48.1,51.9,31.1,38266,36.2,7.1,56.8,0,0,10.552317052444948
53861,50.9,49.1,34,75714,29.5,45.2,65.4,0,0,11.234718362880965
