zipcode,university_college_count
90010,2
90015,1
90022,1
90028,1
90029,1
90032,1
90047,1
90057,1
90059,1
90068,1
90071,1
90230,2
90263,1
90275,1
90301,1
90401,1
90403,2
90405,2
90506,1
90601,1
90602,1
90604,1
90639,1
90650,1
90703,1
90744,1
90745,1
90747,1
90802,1
90804,2
90808,1
90840,1
91010,1
91016,1
91101,1
91103,2
91104,1
91105,1
91106,1
91125,1
91203,1
91206,1
91208,1
91307,1
91311,1
91321,1
91342,1
91355,2
91356,1
91371,1
91401,1
91504,1
91702,1
91711,9
91741,1
91754,1
91766,2
91768,3
91770,1
91773,1
91776,1
91789,1
91803,2
92123,1
92612,1
92801,1
94539,1
